number,code,Type
194,"def bfs_functional(graph, start_node):
    visited = set()
    queue = [start_node]
    visited.add(start_node)
    return list(filter(lambda x: True,
                      (node for node in queue for _ in [0]
                       if (node not in visited or node == start_node)
                       and not (node in visited and node != start_node)
                       and (visited.add(node) or True)
                       and yield node
                       and (neighbor for neighbor in graph.get(node, []) if neighbor not in visited))))",BFS
195,"from collections import deque
def bfs_empty_graph(graph, start_node):
    if not graph:
        return []
    visited = set()
    queue = deque([start_node])
    visited.add(start_node)
    result = []
    while queue:
        node = queue.popleft()
        result.append(node)
        for neighbor in graph.get(node, []):
            if neighbor not in visited:
                visited.add(neighbor)
                queue.append(neighbor)
    return result",BFS
196,"def bfs_no_neighbors(graph, start_node):
    visited = set()
    queue = [start_node]
    visited.add(start_node)
    result = []
    while queue:
        node = queue.pop(0)
        result.append(node)
        for neighbor in graph.get(node, []):
            if neighbor not in visited:
                visited.add(neighbor)
                queue.append(neighbor)
    return result",BFS
197,"from collections import deque
def bfs_start_not_in_graph(graph, start_node):
    if start_node not in graph:
        return []
    visited = set()
    queue = deque([start_node])
    visited.add(start_node)
    result = []
    while queue:
        node = queue.popleft()
        result.append(node)
        for neighbor in graph.get(node, []):
            if neighbor not in visited:
                visited.add(neighbor)
                queue.append(neighbor)
    return result",BFS
198,"def bfs_complex_matrix(graph, start_node):
    n = len(graph)
    visited = [False] * n
    queue = deque([start_node])
    visited[start_node] = True
    result = []
    while queue:
        node = queue.popleft()
        result.append(node)
        for neighbor in range(n):
            if graph[node][neighbor] and not visited[neighbor]:
                visited[neighbor] = True
                queue.append(neighbor)
    return result",BFS
199,"from collections import deque
def bfs_weighted(graph, start_node):
    visited = set()
    queue = deque([start_node])
    visited.add(start_node)
    while queue:
        node = queue.popleft()
        yield node
        for neighbor, weight in graph.get(node, {}).items():
            if neighbor not in visited:
                visited.add(neighbor)
                queue.append(neighbor)",BFS
200,"def bfs_adj_list_recursive(graph, start_node, visited=None):
    if visited is None:
        visited = set()
    if start_node not in graph:
        return []
    visited.add(start_node)
    result = [start_node]
    for neighbor in graph[start_node]:
        if neighbor not in visited:
            result.extend(bfs_adj_list_recursive(graph, neighbor, visited))
    return result",BFS
201,"import heapq
def dijkstra_heapq(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[neighbor] > distances[node] + weight:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances",Dijkstra
202,"import heapq
class BinaryHeap:
    def __init__(self):
        self.heap = []
    def push(self, item):
        heapq.heappush(self.heap, item)
    def pop(self):
        return heapq.heappop(self.heap)
    def __len__(self):
        return len(self.heap)
def dijkstra_binary_heap(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = BinaryHeap()
    pq.push((0, start))
    while len(pq) > 0:
        dist, node = pq.pop()
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[neighbor] > distances[node] + weight:
                distances[neighbor] = distances[node] + weight
                pq.push((distances[neighbor], neighbor))
    return distances",Dijkstra
203,"def dijkstra_generator(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = min(pq)
        pq.remove((dist, node))
        if dist > distances[node]:
            continue
        yield from ((neighbor, distances[node] + weight) for neighbor, weight in graph[node].items() if distances[neighbor] > distances[node] + weight)
        for neighbor, weight in graph[node].items():
            if distances[neighbor] > distances[node] + weight:
                distances[neighbor] = distances[node] + weight
                pq.append((distances[neighbor], neighbor))",Dijkstra
204,"from functools import reduce
def dijkstra_functional(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    nodes = list(graph.keys())
    return reduce(lambda dists, node: {n: min(dists[n], dists[node] + graph[node].get(n, float('inf'))) for n in nodes} , nodes, distances)",Dijkstra
205,"def dijkstra_adj_matrix(graph, start):
    n = len(graph)
    distances = [float('inf')] * n
    distances[start] = 0
    visited = [False] * n
    for _ in range(n):
        min_dist = float('inf')
        min_node = -1
        for v in range(n):
            if not visited[v] and distances[v] < min_dist:
                min_dist = distances[v]
                min_node = v
        if min_node == -1:
            break
        visited[min_node] = True
        for v in range(n):
            if graph[min_node][v] != 0 and distances[v] > distances[min_node] + graph[min_node][v]:
                distances[v] = distances[min_node] + graph[min_node][v]
    return distances",Dijkstra
206,"def dijkstra_adj_list(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    unvisited = list(graph.keys())
    while unvisited:
        current = min(unvisited, key=distances.get)
        unvisited.remove(current)
        for neighbor, weight in graph[current].items():
            new_dist = distances[current] + weight
            if new_dist < distances[neighbor]:
                distances[neighbor] = new_dist
    return distances",Dijkstra
207,"import heapq
def dijkstra_negative_check(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if weight < 0:
                raise ValueError(""Negative edge weights found"")
            if distances[neighbor] > distances[node] + weight:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances",Dijkstra
208,"def dijkstra_unreachable(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = min(pq)
        pq.remove((dist, node))
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[neighbor] > distances[node] + weight:
                distances[neighbor] = distances[node] + weight
                pq.append((distances[neighbor], neighbor))

    reachable = {node for node, dist in distances.items() if dist != float('inf')}
    return distances",Dijkstra
209,"import heapq
def dijkstra_complex_pq(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start, 0)]
    seen = set()
    while pq:
        dist, node, count = heapq.heappop(pq)
        if (node, count) in seen:
            continue
        seen.add((node, count))
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[neighbor] > distances[node] + weight:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor, count+1))
    return distances",Dijkstra
210,"def dijkstra_lazy(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    nodes = list(graph.keys())
    while True:
        min_dist = float('inf')
        min_node = None
        for node in nodes:
            if distances[node] < min_dist:
                min_dist = distances[node]
                min_node = node
        if min_node is None:
            break
        for neighbor, weight in graph[min_node].items():
            if distances[neighbor] > distances[min_node] + weight:
                distances[neighbor] = distances[min_node] + weight
    return distances",Dijkstra
211,"import heapq

def dijkstra1(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances",Dijkstra
212,"import heapq

def dijkstra2(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    visited = set()
    while pq:
        dist, node = heapq.heappop(pq)
        if node in visited:
            continue
        visited.add(node)
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances",Dijkstra
213,"import heapq

def dijkstra3(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        yield distances[node]
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))",Dijkstra
214,"from functools import reduce

def dijkstra4(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    nodes = list(graph.keys())
    return reduce(lambda dists, node: {n: min(dists[n], dists[node] + graph[node].get(n, float('inf'))) for n in nodes}, nodes, distances)",Dijkstra
215,"import heapq

def dijkstra5(adj_matrix, start):
    n = len(adj_matrix)
    distances = [float('inf')] * n
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        for neighbor in range(n):
            weight = adj_matrix[node][neighbor]
            if weight > 0 and distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances",Dijkstra
216,"class BinaryHeap:
    def __init__(self):
        self.heap = []

    def push(self, item):
        self.heap.append(item)
        self._heapify_up(len(self.heap) - 1)

    def pop(self):
        if not self.heap:
            return None
        if len(self.heap) == 1:
            return self.heap.pop()
        root = self.heap[0]
        self.heap[0] = self.heap.pop()
        self._heapify_down(0)
        return root

    def _heapify_up(self, index):
        while index > 0:
            parent_index = (index - 1) // 2
            if self.heap[index][0] < self.heap[parent_index][0]:
                self.heap[index], self.heap[parent_index] = self.heap[parent_index], self.heap[index]
                index = parent_index
            else:
                break

    def _heapify_down(self, index):
        while True:
            left_child_index = 2 * index + 1
            right_child_index = 2 * index + 2
            smallest = index
            if left_child_index < len(self.heap) and self.heap[left_child_index][0] < self.heap[smallest][0]:
                smallest = left_child_index
            if right_child_index < len(self.heap) and self.heap[right_child_index][0] < self.heap[smallest][0]:
                smallest = right_child_index
            if smallest != index:
                self.heap[index], self.heap[smallest] = self.heap[smallest], self.heap[index]
                index = smallest
            else:
                break

def dijkstra6(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = BinaryHeap()
    pq.push((0, start))
    while not pq.heap:
        dist, node = pq.pop()
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                pq.push((distances[neighbor], neighbor))
    return distances",Dijkstra
217,"def dijkstra7(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    unvisited = set(graph.keys())
    while unvisited:
        current_node = None
        for node in unvisited:
            if current_node is None or distances[node] < distances[current_node]:
                current_node = node
        if current_node is None:
            break
        unvisited.remove(current_node)
        for neighbor, weight in graph[current_node].items():
            if distances[current_node] + weight < distances[neighbor]:
                distances[neighbor] = distances[current_node] + weight
    return distances",Dijkstra
218,"def dijkstra8(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    for _ in range(len(graph)):
        for node in graph:
            for neighbor, weight in graph[node].items():
                if distances[node] != float('inf') and distances[node] + weight < distances[neighbor]:
                    distances[neighbor] = distances[node] + weight
    return distances",Dijkstra
219,"def dijkstra9(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    for node in graph:
        if any(weight < 0 for weight in graph[node].values()):
            raise ValueError(""Negative edge weights not allowed"")
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances",Dijkstra
220,"def dijkstra10(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    result = {}
    for node in graph:
        if distances[node] == float('inf'):
            result[node] = None
        else:
            result[node] = distances[node]
    return result",Dijkstra
221,"import heapq

def dijkstra1(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances",Dijkstra
222,"import heapq

def dijkstra2(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    visited = set()
    while pq:
        dist, node = heapq.heappop(pq)
        if node in visited:
            continue
        visited.add(node)
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances",Dijkstra
223,"import heapq

def dijkstra3(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        yield distances[node]
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))",Dijkstra
224,"from functools import reduce

def dijkstra4(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    nodes = list(graph.keys())
    return reduce(lambda dists, node: {n: min(dists[n], dists[node] + graph[node].get(n, float('inf'))) for n in nodes}, nodes, distances)",Dijkstra
225,"import heapq

def dijkstra5(adj_matrix, start):
    n = len(adj_matrix)
    distances = [float('inf')] * n
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        for neighbor in range(n):
            weight = adj_matrix[node][neighbor]
            if weight > 0 and distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances",Dijkstra
226,"class BinaryHeap:
    def __init__(self):
        self.heap = []

    def push(self, item):
        self.heap.append(item)
        self._heapify_up(len(self.heap) - 1)

    def pop(self):
        if not self.heap:
            return None
        if len(self.heap) == 1:
            return self.heap.pop()
        root = self.heap[0]
        self.heap[0] = self.heap.pop()
        self._heapify_down(0)
        return root

    def _heapify_up(self, index):
        while index > 0:
            parent_index = (index - 1) // 2
            if self.heap[index][0] < self.heap[parent_index][0]:
                self.heap[index], self.heap[parent_index] = self.heap[parent_index], self.heap[index]
                index = parent_index
            else:
                break

    def _heapify_down(self, index):
        while True:
            left_child_index = 2 * index + 1
            right_child_index = 2 * index + 2
            smallest = index
            if left_child_index < len(self.heap) and self.heap[left_child_index][0] < self.heap[smallest][0]:
                smallest = left_child_index
            if right_child_index < len(self.heap) and self.heap[right_child_index][0] < self.heap[smallest][0]:
                smallest = right_child_index
            if smallest != index:
                self.heap[index], self.heap[smallest] = self.heap[smallest], self.heap[index]
                index = smallest
            else:
                break

def dijkstra6(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = BinaryHeap()
    pq.push((0, start))
    while not pq.heap:
        dist, node = pq.pop()
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                pq.push((distances[neighbor], neighbor))
    return distances",Dijkstra
227,"def dijkstra7(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    unvisited = set(graph.keys())
    while unvisited:
        current_node = None
        for node in unvisited:
            if current_node is None or distances[node] < distances[current_node]:
                current_node = node
        if current_node is None:
            break
        unvisited.remove(current_node)
        for neighbor, weight in graph[current_node].items():
            if distances[current_node] + weight < distances[neighbor]:
                distances[neighbor] = distances[current_node] + weight
    return distances",Dijkstra
228,"def dijkstra8(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    for _ in range(len(graph)):
        for node in graph:
            for neighbor, weight in graph[node].items():
                if distances[node] != float('inf') and distances[node] + weight < distances[neighbor]:
                    distances[neighbor] = distances[node] + weight
    return distances",Dijkstra
229,"def dijkstra9(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    for node in graph:
        if any(weight < 0 for weight in graph[node].values()):
            raise ValueError(""Negative edge weights not allowed"")
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances",Dijkstra
230,"def dijkstra10(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    result = {}
    for node in graph:
        if distances[node] == float('inf'):
            result[node] = None
        else:
            result[node] = distances[node]
    return result",Dijkstra
231,"import heapq

def dijkstra1(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances",Dijkstra
232,"import heapq

def dijkstra2(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    visited = set()
    while pq:
        dist, node = heapq.heappop(pq)
        if node in visited:
            continue
        visited.add(node)
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances",Dijkstra
233,"import heapq

def dijkstra3(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        yield distances[node]
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))",Dijkstra
234,"from functools import reduce

def dijkstra4(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    nodes = list(graph.keys())
    return reduce(lambda dists, node: {n: min(dists[n], dists[node] + graph[node].get(n, float('inf'))) for n in nodes}, nodes, distances)",Dijkstra
235,"import heapq

def dijkstra5(adj_matrix, start):
    n = len(adj_matrix)
    distances = [float('inf')] * n
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        for neighbor in range(n):
            weight = adj_matrix[node][neighbor]
            if weight > 0 and distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances",Dijkstra
236,"class BinaryHeap:
    def __init__(self):
        self.heap = []

    def push(self, item):
        self.heap.append(item)
        self._heapify_up(len(self.heap) - 1)

    def pop(self):
        if not self.heap:
            return None
        if len(self.heap) == 1:
            return self.heap.pop()
        root = self.heap[0]
        self.heap[0] = self.heap.pop()
        self._heapify_down(0)
        return root

    def _heapify_up(self, index):
        while index > 0:
            parent_index = (index - 1) // 2
            if self.heap[index][0] < self.heap[parent_index][0]:
                self.heap[index], self.heap[parent_index] = self.heap[parent_index], self.heap[index]
                index = parent_index
            else:
                break

    def _heapify_down(self, index):
        while True:
            left_child_index = 2 * index + 1
            right_child_index = 2 * index + 2
            smallest = index
            if left_child_index < len(self.heap) and self.heap[left_child_index][0] < self.heap[smallest][0]:
                smallest = left_child_index
            if right_child_index < len(self.heap) and self.heap[right_child_index][0] < self.heap[smallest][0]:
                smallest = right_child_index
            if smallest != index:
                self.heap[index], self.heap[smallest] = self.heap[smallest], self.heap[index]
                index = smallest
            else:
                break

def dijkstra6(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = BinaryHeap()
    pq.push((0, start))
    while not pq.heap:
        dist, node = pq.pop()
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                pq.push((distances[neighbor], neighbor))
    return distances",Dijkstra
237,"def dijkstra7(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    unvisited = set(graph.keys())
    while unvisited:
        current_node = None
        for node in unvisited:
            if current_node is None or distances[node] < distances[current_node]:
                current_node = node
        if current_node is None:
            break
        unvisited.remove(current_node)
        for neighbor, weight in graph[current_node].items():
            if distances[current_node] + weight < distances[neighbor]:
                distances[neighbor] = distances[current_node] + weight
    return distances",Dijkstra
238,"def dijkstra8(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    for _ in range(len(graph)):
        for node in graph:
            for neighbor, weight in graph[node].items():
                if distances[node] != float('inf') and distances[node] + weight < distances[neighbor]:
                    distances[neighbor] = distances[node] + weight
    return distances",Dijkstra
239,"def dijkstra9(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    for node in graph:
        if any(weight < 0 for weight in graph[node].values()):
            raise ValueError(""Negative edge weights not allowed"")
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances",Dijkstra
240,"def dijkstra10(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    result = {}
    for node in graph:
        if distances[node] == float('inf'):
            result[node] = None
        else:
            result[node] = distances[node]
    return result",Dijkstra
241,"import heapq

def dijkstra1(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances",Dijkstra
242,"import heapq

def dijkstra2(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    visited = set()
    while pq:
        dist, node = heapq.heappop(pq)
        if node in visited:
            continue
        visited.add(node)
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances",Dijkstra
243,"import heapq

def dijkstra3(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        yield distances[node]
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))",Dijkstra
244,"from functools import reduce

def dijkstra4(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    nodes = list(graph.keys())
    return reduce(lambda dists, node: {n: min(dists[n], dists[node] + graph[node].get(n, float('inf'))) for n in nodes}, nodes, distances)",Dijkstra
245,"import heapq

def dijkstra5(adj_matrix, start):
    n = len(adj_matrix)
    distances = [float('inf')] * n
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        for neighbor in range(n):
            weight = adj_matrix[node][neighbor]
            if weight > 0 and distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances",Dijkstra
246,"class BinaryHeap:
    def __init__(self):
        self.heap = []

    def push(self, item):
        self.heap.append(item)
        self._heapify_up(len(self.heap) - 1)

    def pop(self):
        if not self.heap:
            return None
        if len(self.heap) == 1:
            return self.heap.pop()
        root = self.heap[0]
        self.heap[0] = self.heap.pop()
        self._heapify_down(0)
        return root

    def _heapify_up(self, index):
        while index > 0:
            parent_index = (index - 1) // 2
            if self.heap[index][0] < self.heap[parent_index][0]:
                self.heap[index], self.heap[parent_index] = self.heap[parent_index], self.heap[index]
                index = parent_index
            else:
                break

    def _heapify_down(self, index):
        while True:
            left_child_index = 2 * index + 1
            right_child_index = 2 * index + 2
            smallest = index
            if left_child_index < len(self.heap) and self.heap[left_child_index][0] < self.heap[smallest][0]:
                smallest = left_child_index
            if right_child_index < len(self.heap) and self.heap[right_child_index][0] < self.heap[smallest][0]:
                smallest = right_child_index
            if smallest != index:
                self.heap[index], self.heap[smallest] = self.heap[smallest], self.heap[index]
                index = smallest
            else:
                break

def dijkstra6(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = BinaryHeap()
    pq.push((0, start))
    while not pq.heap:
        dist, node = pq.pop()
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                pq.push((distances[neighbor], neighbor))
    return distances",Dijkstra
247,"def dijkstra7(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    unvisited = set(graph.keys())
    while unvisited:
        current_node = None
        for node in unvisited:
            if current_node is None or distances[node] < distances[current_node]:
                current_node = node
        if current_node is None:
            break
        unvisited.remove(current_node)
        for neighbor, weight in graph[current_node].items():
            if distances[current_node] + weight < distances[neighbor]:
                distances[neighbor] = distances[current_node] + weight
    return distances",Dijkstra
248,"def dijkstra8(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    for _ in range(len(graph)):
        for node in graph:
            for neighbor, weight in graph[node].items():
                if distances[node] != float('inf') and distances[node] + weight < distances[neighbor]:
                    distances[neighbor] = distances[node] + weight
    return distances",Dijkstra
249,"def dijkstra9(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    for node in graph:
        if any(weight < 0 for weight in graph[node].values()):
            raise ValueError(""Negative edge weights not allowed"")
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances",Dijkstra
250,"def dijkstra10(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[node] + weight < distances[neighbor]:
                distances[neighbor] = distances[node] + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    result = {node: dist for node, dist in distances.items() if dist != float('inf')}
    return result",Dijkstra
251,"import heapq

def dijkstra(graph, start):
    distances = {node: float('inf') for node in graph}
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        for neighbor, weight in graph[node].items():
            if distances[neighbor] > dist + weight:
                distances[neighbor] = dist + weight
                heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances",Dijkstra
252,"import heapq

def dijkstra_matrix(matrix, start):
    n = len(matrix)
    distances = [float('inf')] * n
    distances[start] = 0
    pq = [(0, start)]
    while pq:
        dist, node = heapq.heappop(pq)
        if dist > distances[node]:
            continue
        for neighbor in range(n):
            if matrix[node][neighbor] != 0:
                weight = matrix[node][neighbor]
                if distances[neighbor] > dist + weight:
                    distances[neighbor] = dist + weight
                    heapq.heappush(pq, (distances[neighbor], neighbor))
    return distances",Dijkstra
